PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"15308962","A structural approach to selection bias","Hernán MA, Hernández-Díaz S, Robins JM.","Epidemiology. 2004 Sep;15(5):615-25. doi: 10.1097/01.ede.0000135174.63482.43.","Hernán MA","Epidemiology","2004","2004/08/17","","","10.1097/01.ede.0000135174.63482.43"
"30646365","Association Between Obesity and Cardiovascular Outcomes: A Systematic Review and Meta-analysis of Mendelian Randomization Studies","Riaz H, Khan MS, Siddiqi TJ, Usman MS, Shah N, Goyal A, Khan SS, Mookadam F, Krasuski RA, Ahmed H.","JAMA Netw Open. 2018 Nov 2;1(7):e183788. doi: 10.1001/jamanetworkopen.2018.3788.","Riaz H","JAMA Netw Open","2018","2019/01/16","PMC6324374","","10.1001/jamanetworkopen.2018.3788"
"34870676","Association Between Cataract Extraction and Development of Dementia","Lee CS, Gibbons LE, Lee AY, Yanagihara RT, Blazes MS, Lee ML, McCurry SM, Bowen JD, McCormick WC, Crane PK, Larson EB.","JAMA Intern Med. 2022 Feb 1;182(2):134-141. doi: 10.1001/jamainternmed.2021.6990.","Lee CS","JAMA Intern Med","2022","2021/12/06","PMC8649913","","10.1001/jamainternmed.2021.6990"
"30066535","Environmental and individual exposure and the risk of congenital anomalies: a review of recent epidemiological evidence","Baldacci S, Gorini F, Santoro M, Pierini A, Minichilli F, Bianchi F.","Epidemiol Prev. 2018 May-Aug;42(3-4 Suppl 1):1-34. doi: 10.19191/EP18.3-4.S1.P001.057.","Baldacci S","Epidemiol Prev","2018","2018/08/02","","","10.19191/EP18.3-4.S1.P001.057"
"34939918","Collider Bias in Observational Studies","Tönnies T, Kahl S, Kuss O.","Dtsch Arztebl Int. 2022 Feb 18;119(7):107-122. doi: 10.3238/arztebl.m2022.0076.","Tönnies T","Dtsch Arztebl Int","2022","2021/12/23","PMC9131185","","10.3238/arztebl.m2022.0076"
"37968629","Association between frailty and chronic constipation and chronic diarrhea among American older adults: National Health and Nutrition Examination Survey","Liu X, Wang Y, Shen L, Sun Y, Zeng B, Zhu B, Dai F.","BMC Geriatr. 2023 Nov 15;23(1):745. doi: 10.1186/s12877-023-04438-4.","Liu X","BMC Geriatr","2023","2023/11/16","PMC10647084","","10.1186/s12877-023-04438-4"
"31939336","Variable selection and estimation in causal inference using Bayesian spike and slab priors","Koch B, Vock DM, Wolfson J, Vock LB.","Stat Methods Med Res. 2020 Sep;29(9):2445-2469. doi: 10.1177/0962280219898497. Epub 2020 Jan 15.","Koch B","Stat Methods Med Res","2020","2020/01/16","PMC10013449","NIHMS1871768","10.1177/0962280219898497"
"36742460","Causal evidence in health decision making: methodological approaches of causal inference and health decision science","Kühne F, Schomaker M, Stojkov I, Jahn B, Conrads-Frank A, Siebert S, Sroczynski G, Puntscher S, Schmid D, Schnell-Inderst P, Siebert U.","Ger Med Sci. 2022 Dec 21;20:Doc12. doi: 10.3205/000314. eCollection 2022.","Kühne F","Ger Med Sci","2022","2023/02/06","PMC9869404","","10.3205/000314"
"33228409","COVID-19 and the epistemology of epidemiological models at the dawn of AI","Ellison GTH.","Ann Hum Biol. 2020 Sep;47(6):506-513. doi: 10.1080/03014460.2020.1839132.","Ellison GTH","Ann Hum Biol","2020","2020/11/24","","","10.1080/03014460.2020.1839132"
"37184181","Methods for Variable Selection and Treatment Effect Estimation in Nonrandomized Studies with Few Outcome Events and Many Confounders","Franklin JM, Eddings W, Gopalakrishnan C, Glynn RJ, Austin PC, Stuart EA, Schneeweiss S.","Washington (DC): Patient-Centered Outcomes Research Institute (PCORI); 2018 Mar.","Franklin JM","Methods for Variable Selection and Treatment Effect Estimation in Nonrandomized Studies with Few Outcome Events and Many Confounders","2018","2018/03/01","","","10.25302/3.2018.ME.13035796"
